run_id,experiment_id,status,metrics.test_loss,metrics.train_loss,params.hydrocarbons,params.subgraph_depth,params.collective,params.funnel,params.dataset,params.cycle_size,params.paths,params.relaxations,params.oxy,params.nitro,params.y_shape,params.parameter_size,params.model,params.cycles,params.max_depth,params.num_layers,params.learning_rate,params.sulfuric,params.architecture,params.circular,params.nbhoods,params.chem_rules,params.subgraphs
d3c12b8cec0041a3a2a9ef4c8bee4a93,2185254781789756,FINISHED,0.28125,0.16955023802340177,True,2,False,False,oral_bioavailability,3,True,True,True,True,True,3,gnn,True,1,2,0.02695714213983856,True,CCD,True,True,,
f7a39989c6f94e278732847b77a351eb,2185254781789756,FINISHED,0.38524590163934425,0.3056961562547334,True,1,True,False,skin_reaction,10,True,True,False,False,False,3,gnn,False,1,1,1.1794901191937751e-05,False,CCE,True,False,,
7e9f2ee092544a1691035c446c0eca20,2185254781789756,FINISHED,0.39344262295081966,0.17028147115194406,True,1,True,False,skin_reaction,7,True,False,False,False,True,4,gnn,False,1,1,0.006003633533554188,True,CCE,True,True,,
d68afe5b2b9b4aa4b362b3b7520b1db2,2185254781789756,FINISHED,0.08620689655172414,0.08378598495417458,True,6,True,False,human_intestinal_absorption,9,True,True,False,True,False,2,gnn,False,1,2,0.0004199921591865318,False,CCD,True,False,,
e57dad09e8b24f3fbaef83305a626c15,2185254781789756,FINISHED,0.38524590163934425,0.20260641718644412,True,8,False,False,skin_reaction,5,True,True,False,False,True,4,gnn,True,1,1,0.01654969301825892,False,CCD,True,True,,
20ef28c372b54a5d8fe0c29192af0f23,2185254781789756,FINISHED,0.2604166666666667,0.17101778088512387,False,2,True,False,oral_bioavailability,7,True,False,False,False,False,4,gnn,False,1,1,0.020444651299569815,True,CCE,True,False,,
97b94285b46f46ba9ea200935f80014e,2185254781789756,FINISHED,0.11494252873563218,0.04925504306278395,True,6,True,False,human_intestinal_absorption,5,True,False,False,True,False,4,gnn,True,1,3,0.0011635570721220052,True,CCE,True,True,,
c545040b733d43b5b7bee20cc4cd0df6,2185254781789756,FINISHED,0.3360655737704918,0.15488777288752859,True,2,True,False,skin_reaction,6,True,False,False,False,True,4,gnn,False,1,1,0.0008559033790716,True,CCE,True,True,,
dcc57e1261334746b4c5c5e111346a77,2185254781789756,FINISHED,0.265625,0.15291260920321123,True,1,False,False,oral_bioavailability,4,False,True,False,False,True,4,gnn,False,1,1,0.002204293740005183,False,CCD,False,True,,
221715d0d3e049bd94c8d196d67da8b4,2185254781789756,FINISHED,0.30327868852459017,0.17864944517196993,True,1,True,False,skin_reaction,9,True,False,False,False,True,4,gnn,False,1,1,0.0003904159500789929,True,CCE,True,True,,
